ppcnt: 563, rega0: 41998746, event: 54
ppcnt: 0, rega0: 0, event: 0
ppcnt: 1, rega0: 15033665, event: 54
ppcnt: 2, rega0: 41998746, event: 54
ppcnt: 3, rega0: 41998747, event: 54
ppcnt: 4, rega0: 41998746, event: 54
ppcnt: 5, rega0: 41998747, event: 54
ppcnt: 6, rega0: 41998746, event: 54
ppcnt: 7, rega0: 41998747, event: 55
ppcnt: 8, rega0: 41998746, event: 54
ppcnt: 9, rega0: 41998747, event: 55
ppcnt: 10, rega0: 41998746, event: 54
ppcnt: 11, rega0: 41998747, event: 54
ppcnt: 12, rega0: 41998746, event: 54
ppcnt: 13, rega0: 41998747, event: 54
ppcnt: 14, rega0: 41998746, event: 55
ppcnt: 15, rega0: 41998746, event: 54
ppcnt: 16, rega0: 41998747, event: 54
ppcnt: 17, rega0: 41998746, event: 55
ppcnt: 18, rega0: 41998747, event: 54
ppcnt: 19, rega0: 41998746, event: 54
ppcnt: 20, rega0: 41998746, event: 56
ppcnt: 21, rega0: 41998747, event: 54
ppcnt: 22, rega0: 41998746, event: 55
ppcnt: 23, rega0: 41998747, event: 54
ppcnt: 24, rega0: 41998746, event: 54
ppcnt: 25, rega0: 41998746, event: 55
ppcnt: 26, rega0: 41998746, event: 54
ppcnt: 27, rega0: 41998745, event: 54
ppcnt: 28, rega0: 41998747, event: 54
ppcnt: 29, rega0: 41998745, event: 55
ppcnt: 30, rega0: 41998747, event: 54
ppcnt: 31, rega0: 41998746, event: 54
ppcnt: 32, rega0: 41998746, event: 54
ppcnt: 33, rega0: 41998746, event: 54
ppcnt: 34, rega0: 41998747, event: 54
ppcnt: 35, rega0: 41998746, event: 54
ppcnt: 36, rega0: 41998745, event: 54
ppcnt: 37, rega0: 41998747, event: 54
ppcnt: 38, rega0: 41998746, event: 54
ppcnt: 39, rega0: 41998746, event: 54
ppcnt: 40, rega0: 41998746, event: 54
ppcnt: 41, rega0: 41998746, event: 54
ppcnt: 42, rega0: 41998746, event: 54
ppcnt: 43, rega0: 41998746, event: 54
